refYear,reporter,partner,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,dataset_type,source_side
2020,India,China,China,Export,89,"Ships, boats and floating structures",3090031.186,hs2,India_reporter
2020,India,China,China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",894571648.226,hs2,India_reporter
2020,India,China,China,Export,5,Animal originated products; not elsewhere specified or included,2977438.012,hs2,India_reporter
2020,India,China,China,Export,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",224817.616,hs2,India_reporter
2020,India,China,China,Export,7,Vegetables and certain roots and tubers; edible,14996731.185,hs2,India_reporter
2020,India,China,China,Export,8,"Fruit and nuts, edible; peel of citrus fruit or melons",10359606.111,hs2,India_reporter
2020,India,China,China,Export,9,"Coffee, tea, mate and spices",608718257.314,hs2,India_reporter
2020,India,China,China,Export,10,Cereals,10614844.338,hs2,India_reporter
2020,India,China,China,Export,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2296108.742,hs2,India_reporter
2020,India,China,China,Export,13,"Lac; gums, resins and other vegetable saps and extracts",42810960.634,hs2,India_reporter
2020,India,China,China,Export,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,6491669.213,hs2,India_reporter
2020,India,China,China,Export,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,678520528.259,hs2,India_reporter
2020,India,China,China,Export,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1970474.534,hs2,India_reporter
2020,India,China,China,Export,18,Cocoa and cocoa preparations,837077.202,hs2,India_reporter
2020,India,China,China,Export,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",593315.441,hs2,India_reporter
2020,India,China,China,Export,21,Miscellaneous edible preparations,2414386.731,hs2,India_reporter
2020,India,China,China,Export,22,"Beverages, spirits and vinegar",4235887.235,hs2,India_reporter
2020,India,China,China,Export,31,Fertilizers,2320596.665,hs2,India_reporter
2020,India,China,China,Export,41,Raw hides and skins (other than furskins) and leather,40670118.774,hs2,India_reporter
2020,India,China,China,Export,43,Furskins and artificial fur; manufactures thereof,129545.843,hs2,India_reporter
2020,India,China,China,Export,45,Cork and articles of cork,65892.299,hs2,India_reporter
2020,India,China,China,Export,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",109830.332,hs2,India_reporter
2020,India,China,China,Export,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,8381807.25,hs2,India_reporter
2020,India,China,China,Export,60,Fabrics; knitted or crocheted,591001.33,hs2,India_reporter
2020,India,China,China,Export,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",238521599.092,hs2,India_reporter
2020,India,China,China,Export,75,Nickel and articles thereof,9343617.037,hs2,India_reporter
2020,India,China,China,Export,78,Lead and articles thereof,13928.041,hs2,India_reporter
2020,India,China,China,Export,79,Zinc and articles thereof,16892109.813,hs2,India_reporter
2020,India,China,China,Export,80,Tin; articles thereof,1566.781,hs2,India_reporter
