typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","01","Animals; live","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","8126.03",,"8126.03","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","01","Animals; live","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"4392329.1","4392329.1","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","21.672",,"21.672","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1394732.446","1394732.446","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","662564353.585",,"662564353.585","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","03","Fish and crustaceans, molluscs and other aquatic invertebrates","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2982334.563","2982334.563","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1017347.245",,"1017347.245","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"24134734.271","24134734.271","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","05","Animal originated products; not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","29147030.457",,"29147030.457","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","05","Animal originated products; not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"8393247.799","8393247.799","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","06","Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","24482861.479",,"24482861.479","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","06","Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"11709729.674","11709729.674","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","130170976.02",,"130170976.02","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"7542834.317","7542834.317","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","337003110.649",,"337003110.649","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"44717555.512","44717555.512","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","417763066.621",,"417763066.621","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"19900411.753","19900411.753","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","184783580.337",,"184783580.337","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4109962.167","4109962.167","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","11","Products of the milling industry; malt, starches, inulin, wheat gluten","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7402813.326",,"7402813.326","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","11","Products of the milling industry; malt, starches, inulin, wheat gluten","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"11990966.505","11990966.505","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","283325929.416",,"283325929.416","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"45700268.6","45700268.6","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","13","Lac; gums, resins and other vegetable saps and extracts","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","132864153.838",,"132864153.838","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","13","Lac; gums, resins and other vegetable saps and extracts","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"25425520.125","25425520.125","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","14","Vegetable plaiting materials; vegetable products not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","51462992.048",,"51462992.048","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","14","Vegetable plaiting materials; vegetable products not elsewhere specified or included","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"109203.28","109203.28","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","699","IND","India","0","W00","World","H5","HS","true","15","Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","266635744.776",,"266635744.776","4","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","X","Export","699","IND","India","0","W00","World","H5","HS","true","15","Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"75161132.17","75161132.17","4","false","true",
