refYear,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,partner_flow_total_usd,sector_share,series_name,fitted_share,is_forecast,alpha,beta
2020,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",17842378313.626,58798824676.803,0.30344787351957186,China Import - HS2 85,0.2874911232997803,False,-41.02518492694221,0.02045181982685247
2021,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",26391476139.552,87535135684.943,0.3014958043195405,China Import - HS2 85,0.3079429431266334,False,-41.02518492694221,0.02045181982685247
2022,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",30631676223.099,102249179657.571,0.2995786990730237,China Import - HS2 85,0.32839476295348646,False,-41.02518492694221,0.02045181982685247
2023,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",44151363869.282,121967409566.58899,0.36199312608322015,China Import - HS2 85,0.34884658278033953,False,-41.02518492694221,0.02045181982685247
2024,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",47669497356.356,126963489318.893,0.3754583117720164,China Import - HS2 85,0.3692984026071926,False,-41.02518492694221,0.02045181982685247
2025,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,China Import - HS2 85,0.38975022243404567,True,-41.02518492694221,0.02045181982685247
2026,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,China Import - HS2 85,0.41020204226089874,True,-41.02518492694221,0.02045181982685247
2020,European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2764358674.42,37456356498.937004,0.0738021242001595,EU Export - HS2 85,0.06291289165178426,False,-47.00061435176569,0.023298775863077957
2021,European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",4098937839.021,54452301349.239,0.07527575028889545,EU Export - HS2 85,0.08621166751485987,False,-47.00061435176569,0.023298775863077957
2022,European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",7621467174.812,71137414638.93,0.10713725278738409,EU Export - HS2 85,0.10951044337793547,False,-47.00061435176569,0.023298775863077957
2023,European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8876802482.814,70002783371.4,0.12680642190637043,EU Export - HS2 85,0.13280921924101818,False,-47.00061435176569,0.023298775863077957
2024,European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",12678761851.564,77060173816.08,0.16453066770682973,EU Export - HS2 85,0.1561079951040938,False,-47.00061435176569,0.023298775863077957
2025,European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,EU Export - HS2 85,0.1794067709671694,True,-47.00061435176569,0.023298775863077957
2026,European Union,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,EU Export - HS2 85,0.2027055468302521,True,-47.00061435176569,0.023298775863077957
2020,European Union,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",7427926200.243,34621757793.069,0.21454503392459212,EU Import - HS2 84,0.20615188111181482,False,-17.55976450271575,0.008795008110805726
2021,European Union,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",9556642584.338,46217497408.315,0.2067754231673016,EU Import - HS2 84,0.21494688922262029,False,-17.55976450271575,0.008795008110805726
2022,European Union,Import,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",10539086898.826,49542981597.997,0.2127261331250215,EU Import - HS2 84,0.22374189733342575,False,-17.55976450271575,0.008795008110805726
2023,European Union,Import,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",12737493420.576,51881723621.625,0.24551022077583487,EU Import - HS2 84,0.23253690544423122,False,-17.55976450271575,0.008795008110805726
2024,European Union,Import,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",12516736929.775,52337850264.398,0.23915267567436396,EU Import - HS2 84,0.2413319135550367,False,-17.55976450271575,0.008795008110805726
2025,European Union,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,EU Import - HS2 84,0.25012692166584216,True,-17.55976450271575,0.008795008110805726
2026,European Union,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,EU Import - HS2 84,0.25892192977664763,True,-17.55976450271575,0.008795008110805726
2020,United States,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2738306174.34,49320596192.185,0.055520540823752115,US Export - HS2 85,0.034583982610350006,False,-57.0888250454146,0.028278915360408392
