partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,partner_flow_total_usd,sample_share
China,Export,26,"Ores, slag and ash",14000395136.795,88274113911.99,0.15860136699591804
China,Export,29,Organic chemicals,9041869344.256,88274113911.99,0.1024294546107913
China,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",7344450555.634,88274113911.99,0.08320050159842415
China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",5555031348.775,88274113911.99,0.06292933570891926
China,Export,72,Iron and steel,5099376189.757,88274113911.99,0.05776751488937197
China,Export,52,Cotton,4147204505.898,88274113911.99,0.04698098142375913
China,Export,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",4102288239.61,88274113911.99,0.04647215426823784
China,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3735247492.893,88274113911.99,0.0423141884677208
China,Export,74,Copper and articles thereof,3124025263.801,88274113911.99,0.035390049532705345
China,Export,9,"Coffee, tea, mate and spices",3061455646.949,88274113911.99,0.03468123905498837
China,Export,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",3055327834.193,88274113911.99,0.034611821051403424
China,Export,76,Aluminium and articles thereof,2385169326.965,88274113911.99,0.027020031368913348
China,Export,39,Plastics and articles thereof,2271920208.4049997,88274113911.99,0.025737105791513493
China,Export,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",2221536077.911,88274113911.99,0.025166336760127538
China,Export,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",2050837485.631,88274113911.99,0.023232603475076524
China,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1755384542.437,88274113911.99,0.01988560932129132
China,Export,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1396222867.4889998,88274113911.99,0.015816900398241834
China,Export,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1282500963.688,88274113911.99,0.014528618944469537
China,Export,10,Cereals,1172910826.3769999,88274113911.99,0.0132871435848838
China,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1058890028.941,88274113911.99,0.011995476159598971
China,Export,38,Chemical products n.e.c.,1007901889.181,88274113911.99,0.011417864700243677
China,Export,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",755615174.49,88274113911.99,0.008559872662594545
China,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",662599267.497,88274113911.99,0.0075061559740788415
China,Export,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",602180477.116,88274113911.99,0.006821710809993276
China,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",591640791.738,88274113911.99,0.006702313572106435
China,Export,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,519027966.573,88274113911.99,0.005879730122133824
China,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",487836495.791,88274113911.99,0.005526382244713064
China,Export,73,Iron or steel articles,432555983.513,88274113911.99,0.004900145289980048
China,Export,7,Vegetables and certain roots and tubers; edible,414142609.96999997,88274113911.99,0.0046915521619724605
China,Export,40,Rubber and articles thereof,375407123.919,88274113911.99,0.004252743044164498
China,Export,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",356180278.197,88274113911.99,0.00403493461913551
China,Export,17,Sugars and sugar confectionery,348489248.10899997,88274113911.99,0.0039478079435206394
China,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",334180899.936,88274113911.99,0.003785717976950536
China,Export,64,Footwear; gaiters and the like; parts of such articles,333157587.105,88274113911.99,0.0037741255317177216
China,Export,30,Pharmaceutical products,316859144.089,88274113911.99,0.003589491075548049
China,Export,13,"Lac; gums, resins and other vegetable saps and extracts",255495339.108,88274113911.99,0.002894340455943074
China,Export,41,Raw hides and skins (other than furskins) and leather,254922381.031,88274113911.99,0.0028878497866901233
China,Export,88,"Aircraft, spacecraft, and parts thereof",179098337.624,88274113911.99,0.002028888534667847
China,Export,62,Apparel and clothing accessories; not knitted or crocheted,163007974.551,88274113911.99,0.0018466112807829513
China,Export,61,Apparel and clothing accessories; knitted or crocheted,131901997.684,88274113911.99,0.0014942319082976844
China,Export,50,Silk,131872197.255,88274113911.99,0.0014938943186275156
China,Export,55,Man-made staple fibres,129108941.82699999,88274113911.99,0.001462591195825796
China,Export,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",121824555.78400001,88274113911.99,0.0013800711260093764
China,Export,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",117852198.67,88274113911.99,0.001335070876922079
China,Export,44,Wood and articles of wood; wood charcoal,116473976.27399999,88274113911.99,0.0013194578921531341
China,Export,70,Glass and glassware,112417013.954,88274113911.99,0.0012734992057363572
China,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",92610741.363,88274113911.99,0.0010491268307188408
China,Export,54,Man-made filaments; strip and the like of man-made textile materials,74963976.703,88274113911.99,0.0008492181159443829
China,Export,57,Carpets and other textile floor coverings,73701513.221,88274113911.99,0.0008349164885923522
China,Export,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",73299338.165,88274113911.99,0.0008303605090624872
China,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",60752246.09,88274113911.99,0.0006882226668462567
China,Export,69,Ceramic products,57550491.978,88274113911.99,0.0006519520777674223
China,Export,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",57320188.833,88274113911.99,0.0006493431232869546
China,Export,75,Nickel and articles thereof,56274009.706,88274113911.99,0.0006374916406649591
China,Export,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,51806050.83,88274113911.99,0.0005868770416846217
China,Export,20,"Preparations of vegetables, fruit, nuts or other parts of plants",51761269.314,88274113911.99,0.0005863697410274365
China,Export,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",49839866.22,88274113911.99,0.0005646034155572578
China,Export,83,Metal; miscellaneous products of base metal,48590348.37,88274113911.99,0.0005504484408469392
China,Export,79,Zinc and articles thereof,42670413.252000004,88274113911.99,0.0004833853477650622
China,Export,8,"Fruit and nuts, edible; peel of citrus fruit or melons",40616554.563,88274113911.99,0.00046011851904279694
China,Export,96,Miscellaneous manufactured articles,35322654.603,88274113911.99,0.0004001473709293414
China,Export,95,"Toys, games and sports requisites; parts and accessories thereof",24881286.23,88274113911.99,0.0002818639024211202
China,Export,92,Musical instruments; parts and accessories of such articles,24156047.77,88274113911.99,0.00027364814779204437
China,Export,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",23936408.642,88274113911.99,0.00027115999902151144
China,Export,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,21202803.4,88274113911.99,0.00024019276388477105
China,Export,21,Miscellaneous edible preparations,19679953.948,88274113911.99,0.0002229413933015637
China,Export,35,Albuminoidal substances; modified starches; glues; enzymes,17030130.497,88274113911.99,0.000192923267561532
China,Export,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",16535783.422,88274113911.99,0.00018732313120113907
China,Export,88,"Aircraft, spacecraft and parts thereof",16517111.204,88274113911.99,0.00018711160579269807
China,Export,81,"Metals; n.e.c., cermets and articles thereof",16417649.289,88274113911.99,0.00018598486647363607
China,Export,5,Animal originated products; not elsewhere specified or included,14332988.399,88274113911.99,0.00016236909965802775
China,Export,31,Fertilizers,13880900.857,88274113911.99,0.00015724769405036873
China,Export,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",10298386.094,88274113911.99,0.00011666371530239967
China,Export,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",9552017.256000001,88274113911.99,0.0001082085883696713
