partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change,exposure_score
China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.30344787351957186,0.3754583117720164,0.07201043825244452,0.4474687500244609
China,Import,39,Plastics and articles thereof,0.036817554503892264,0.049573669092752355,0.012756114588860092,0.06232978368161245
China,Import,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.0017618634327034423,0.022711230969617947,0.020949367536914506,0.04366059850653245
China,Import,29,Organic chemicals,0.13942790155221094,0.08762226838356554,-0.05180563316864539,0.03581663521492015
China,Import,72,Iron and steel,0.014202357992683688,0.02356456314775207,0.009362205155068384,0.03292676830282046
China,Import,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.026831607435061754,0.022474493393845225,-0.004357114041216529,0.018117379352628697
China,Import,76,Aluminium and articles thereof,0.01141044366802944,0.014296416193351247,0.0028859725253218074,0.017182388718673055
China,Import,73,Iron or steel articles,0.020995270124898043,0.017248393692832497,-0.003746876432065546,0.01350151726076695
China,Import,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.02045957382013115,0.016318291528718238,-0.004141282291412911,0.012177009237305327
China,Import,70,Glass and glassware,0.00754879696502011,0.00981800432668566,0.0022692073616655496,0.01208721168835121
China,Import,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",0.008856993910976177,0.008945732185796097,8.873827481991996e-05,0.009034470460616017
China,Import,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.010545054063174387,0.009736374163237893,-0.0008086798999364948,0.008927694263301398
China,Import,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.005391718797230852,0.00675120744783634,0.0013594886506054877,0.008110696098441828
China,Import,54,Man-made filaments; strip and the like of man-made textile materials,0.007590619915878685,0.007362820007703539,-0.00022779990817514608,0.007135020099528393
China,Import,74,Copper and articles thereof,0.002332277166708433,0.004375659093187278,0.002043381926478845,0.006419041019666123
China,Import,60,Fabrics; knitted or crocheted,0.005075363988418857,0.0051493584590283714,7.399447060951487e-05,0.005223352929637886
China,Import,83,Metal; miscellaneous products of base metal,0.004952369113338418,0.005012975998740843,6.0606885402424496e-05,0.005073582884143267
China,Import,89,"Ships, boats and floating structures",0.0008943459757240036,0.0026398096561617264,0.0017454636804377227,0.004385273336599449
China,Import,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",0.005544006829708015,0.004729138331295471,-0.0008148684984125437,0.003914269832882927
China,Import,38,Chemical products n.e.c.,0.02110551781434816,0.012497048428976134,-0.008608469385372025,0.0038885790436041096
China,Import,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",0.00973080211192938,0.006723282865296748,-0.003007519246632631,0.003715763618664117
China,Import,69,Ceramic products,0.004585073483575258,0.003926671755348593,-0.000658401728226665,0.003268270027121928
China,Import,40,Rubber and articles thereof,0.003336396678969578,0.003229562770097748,-0.00010683390887182998,0.0031227288612259182
China,Import,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",0.0033547502671906317,0.0031929618400435324,-0.00016178842714709932,0.003031173412896433
