refYear,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd
2020,China,Export,26,"Ores, slag and ash",3494641491.871
2020,China,Export,29,Organic chemicals,2419784466.756
2020,China,Export,72,Iron and steel,2411983606.351
2020,China,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1205912689.144
2020,China,Export,52,Cotton,1039142187.497
2020,China,Export,39,Plastics and articles thereof,1005328780.795
2020,China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",894571648.226
2020,China,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",718921918.398
2020,China,Export,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,678520528.259
2020,China,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",638699940.112
2020,China,Export,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",630610293.153
2020,China,Export,9,"Coffee, tea, mate and spices",608718257.314
2020,China,Export,74,Copper and articles thereof,499408366.157
2020,China,Export,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",284868015.186
2020,China,Export,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",250733890.16
2020,China,Export,76,Aluminium and articles thereof,245572961.388
2020,China,Export,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",238521599.092
2020,China,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",179947197.144
2020,China,Export,38,Chemical products n.e.c.,155385236.408
2020,China,Export,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",115192548.465
2020,China,Export,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",114250832.435
2020,China,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",96593829.38
2020,China,Export,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,96389519.538
2020,China,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",92882574.931
2020,China,Export,40,Rubber and articles thereof,82115667.542
2020,China,Export,73,Iron or steel articles,66566905.34
2020,China,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",58651658.639
2020,China,Export,30,Pharmaceutical products,51191256.93
2020,China,Export,17,Sugars and sugar confectionery,49785900.863
2020,China,Export,13,"Lac; gums, resins and other vegetable saps and extracts",42810960.634
2020,China,Export,64,Footwear; gaiters and the like; parts of such articles,40671131.707
2020,China,Export,41,Raw hides and skins (other than furskins) and leather,40670118.774
2020,China,Export,62,Apparel and clothing accessories; not knitted or crocheted,38009642.773
2020,China,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",25993302.417
2020,China,Export,69,Ceramic products,23789547.372
2020,China,Export,70,Glass and glassware,22806915.906
2020,China,Export,61,Apparel and clothing accessories; knitted or crocheted,22365960.167
2020,China,Export,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",22070567.76
2020,China,Export,55,Man-made staple fibres,20638181.029
2020,China,Export,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",19457188.244
2020,China,Export,50,Silk,17030283.382
2020,China,Export,79,Zinc and articles thereof,16892109.813
2020,China,Export,7,Vegetables and certain roots and tubers; edible,14996731.185
2020,China,Export,54,Man-made filaments; strip and the like of man-made textile materials,14251288.366
2020,China,Export,57,Carpets and other textile floor coverings,13136375.825
2020,China,Export,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",12664639.364
2020,China,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",11827653.773
2020,China,Export,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11230176.53
2020,China,Export,20,"Preparations of vegetables, fruit, nuts or other parts of plants",11153525.888
2020,China,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",10867065.679
2020,China,Export,10,Cereals,10614844.338
2020,China,Export,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",10468567.755
2020,China,Export,8,"Fruit and nuts, edible; peel of citrus fruit or melons",10359606.111
2020,China,Export,44,Wood and articles of wood; wood charcoal,9848751.992
2020,China,Export,75,Nickel and articles thereof,9343617.037
2020,China,Export,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,8381807.25
2020,China,Export,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",7166535.224
2020,China,Export,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,6491669.213
2020,China,Export,96,Miscellaneous manufactured articles,6124505.413
2020,China,Export,95,"Toys, games and sports requisites; parts and accessories thereof",5951593.602
2020,China,Export,88,"Aircraft, spacecraft and parts thereof",5883908.857
2020,China,Export,83,Metal; miscellaneous products of base metal,4629594.909
2020,China,Export,92,Musical instruments; parts and accessories of such articles,4303833.157
2020,China,Export,22,"Beverages, spirits and vinegar",4235887.235
2020,China,Export,89,"Ships, boats and floating structures",3090031.186
2020,China,Export,5,Animal originated products; not elsewhere specified or included,2977438.012
2020,China,Export,21,Miscellaneous edible preparations,2414386.731
2020,China,Export,31,Fertilizers,2320596.665
2020,China,Export,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2296108.742
2020,China,Export,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",2096530.764
2020,China,Export,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1970474.534
2020,China,Export,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1905499.307
2020,China,Export,35,Albuminoidal substances; modified starches; glues; enzymes,1164724.757
2020,China,Export,18,Cocoa and cocoa preparations,837077.202
2020,China,Export,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",714203.581
2020,China,Export,81,"Metals; n.e.c., cermets and articles thereof",687482.643
2020,China,Export,99,Commodities not specified according to kind,679573.19
2020,China,Export,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",593315.441
2020,China,Export,60,Fabrics; knitted or crocheted,591001.33
2020,China,Export,24,Tobacco and manufactured tobacco substitutes,341724.172
2020,China,Export,65,Headgear and parts thereof,302604.525
2020,China,Export,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",224817.616
2020,China,Export,91,Clocks and watches and parts thereof,199858.767
2020,China,Export,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",172627.559
2020,China,Export,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",162182.039
2020,China,Export,43,Furskins and artificial fur; manufactures thereof,129545.843
2020,China,Export,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",110690.047
2020,China,Export,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",109830.332
2020,China,Export,45,Cork and articles of cork,65892.299
2020,China,Export,97,Works of art; collectors' pieces and antiques,57315.082
2020,China,Export,78,Lead and articles thereof,13928.041
2020,China,Export,37,Photographic or cinematographic goods,3855.678
2020,China,Export,80,Tin; articles thereof,1566.781
2021,China,Export,26,"Ores, slag and ash",3482952718.678
2021,China,Export,29,Organic chemicals,2522223877.369
2021,China,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1749250038.29
2021,China,Export,52,Cotton,1682762479.726
2021,China,Export,72,Iron and steel,1468488660.437
2021,China,Export,74,Copper and articles thereof,1333915470.332
2021,China,Export,76,Aluminium and articles thereof,1265429463.638
2021,China,Export,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1036462624.039
2021,China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1029395720.091
2021,China,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",986890150.858
2021,China,Export,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",782748114.655
2021,China,Export,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,717702339.23
2021,China,Export,9,"Coffee, tea, mate and spices",662694035.242
2021,China,Export,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",502296546.495
2021,China,Export,39,Plastics and articles thereof,408372294.482
2021,China,Export,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",378963062.538
2021,China,Export,10,Cereals,369411983.627
2021,China,Export,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",329351408.521
2021,China,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",217024762.694
2021,China,Export,38,Chemical products n.e.c.,203413192.66
2021,China,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",168388867.599
2021,China,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",152458659.698
2021,China,Export,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",150611322.86
2021,China,Export,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,142456703.415
2021,China,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",124175905.43
2021,China,Export,73,Iron or steel articles,98032046.67
2021,China,Export,40,Rubber and articles thereof,80169405.878
2021,China,Export,7,Vegetables and certain roots and tubers; edible,79773243.49
2021,China,Export,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",78275206.79
2021,China,Export,41,Raw hides and skins (other than furskins) and leather,72424932.963
2021,China,Export,17,Sugars and sugar confectionery,61945017.448
2021,China,Export,30,Pharmaceutical products,55415340.739
2021,China,Export,55,Man-made staple fibres,54828828.725
2021,China,Export,64,Footwear; gaiters and the like; parts of such articles,54366018.07
2021,China,Export,44,Wood and articles of wood; wood charcoal,38532695.359
2021,China,Export,13,"Lac; gums, resins and other vegetable saps and extracts",38055936.623
2021,China,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",37735638.502
2021,China,Export,50,Silk,30684803.611
2021,China,Export,70,Glass and glassware,29352274.683
2021,China,Export,62,Apparel and clothing accessories; not knitted or crocheted,28591755.001
2021,China,Export,61,Apparel and clothing accessories; knitted or crocheted,26111075.401
2021,China,Export,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",23906623.672
2021,China,Export,54,Man-made filaments; strip and the like of man-made textile materials,22598515.63
2021,China,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",21409292.112
2021,China,Export,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",19376909.133
2021,China,Export,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,18722400.653
2021,China,Export,79,Zinc and articles thereof,17503439.997
2021,China,Export,57,Carpets and other textile floor coverings,14468921.925
2021,China,Export,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",14125872.168
2021,China,Export,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",13946799.289
2021,China,Export,83,Metal; miscellaneous products of base metal,13702428.723
2021,China,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",13199874.445
2021,China,Export,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11785874.162
2021,China,Export,88,"Aircraft, spacecraft and parts thereof",10633202.347
2021,China,Export,20,"Preparations of vegetables, fruit, nuts or other parts of plants",9996289.397
2021,China,Export,8,"Fruit and nuts, edible; peel of citrus fruit or melons",9602384.354
2021,China,Export,69,Ceramic products,8032633.636
2021,China,Export,96,Miscellaneous manufactured articles,6899701.646
2021,China,Export,95,"Toys, games and sports requisites; parts and accessories thereof",6553574.709
2021,China,Export,75,Nickel and articles thereof,6390806.849
2021,China,Export,92,Musical instruments; parts and accessories of such articles,5211156.918
2021,China,Export,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",3675297.199
