partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change
China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.04706224194495252,0.07507970246982476,0.028017460524872244
China,Export,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.03317558101488841,0.05383168067185369,0.020656099656965278
China,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.03360116673872473,0.05357377656466954,0.019972609825944808
China,Export,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",0.012548308710459774,0.031458526043613634,0.01891021733315386
China,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.06344148604924876,0.0821715438429171,0.018730057793668334
China,Export,9,"Coffee, tea, mate and spices",0.03202386970214368,0.04533999201219623,0.013316122310052553
China,Export,7,Vegetables and certain roots and tubers; edible,0.0007889583722125519,0.007123404565072974,0.006334446192860423
China,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",0.000622237363111055,0.006683177093709264,0.006060939730598208
China,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.009466786194377024,0.015351103313893397,0.0058843171195163725
China,Export,76,Aluminium and articles thereof,0.012919271639001,0.01871471970826804,0.00579544806926704
China,Export,38,Chemical products n.e.c.,0.008174613632131877,0.013544903465433413,0.005370289833301536
China,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.005081674763207524,0.009076697590930653,0.00399502282772313
China,Export,10,Cereals,0.0005584330483015258,0.0038823386356172007,0.003323905587315675
China,Export,30,Pharmaceutical products,0.002693104933387343,0.005636950840150006,0.002943845906762663
China,Export,73,Iron or steel articles,0.0035019976441801794,0.006027071407841444,0.0025250737636612645
China,Export,64,Footwear; gaiters and the like; parts of such articles,0.002139654933582583,0.004607109894470683,0.0024674549608881
China,Export,13,"Lac; gums, resins and other vegetable saps and extracts",0.0022522285288703254,0.004355578933994344,0.002103350405124019
China,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.0048864305307925095,0.006522292509581876,0.0016358619787893661
China,Export,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,0.005070926290198116,0.006562746130905923,0.0014918198407078065
China,Export,50,Silk,0.0008959408880263391,0.0021438395992452934,0.0012478987112189543
China,Export,41,Raw hides and skins (other than furskins) and leather,0.002139601644505051,0.0031097143725189974,0.0009701127280139464
China,Export,54,Man-made filaments; strip and the like of man-made textile materials,0.0007497416025178316,0.001684755457318483,0.0009350138548006514
China,Export,40,Rubber and articles thereof,0.0043199976446789525,0.005099973204737696,0.0007799755600587438
China,Export,61,Apparel and clothing accessories; knitted or crocheted,0.0011766438504930163,0.0019391666526994546,0.0007625228022064383
China,Export,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",0.0010236171719990351,0.0017166400575556442,0.0006930228855566091
China,Export,57,Carpets and other textile floor coverings,0.0006910875149933093,0.0012630742508317756,0.0005719867358384662
China,Export,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",0.0011611036431161067,0.0017115685011985624,0.0005504648580824556
China,Export,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.006060128997902145,0.006569246503240779,0.0005091175053386337
China,Export,81,"Metals; n.e.c., cermets and articles thereof",3.616756080072812e-05,0.0005154701956077064,0.00047930263480697833
China,Export,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",0.0005507376289869538,0.0010270234015729205,0.0004762857725859667
China,Export,74,Copper and articles thereof,0.02627321959512451,0.026745624574244595,0.0004724049791200863
China,Export,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",0.00011029573568094718,0.0005066575624080588,0.0003963618267271116
China,Export,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0.0003415182090050125,0.0007165824086838407,0.0003750641996788282
China,Export,44,Wood and articles of wood; wood charcoal,0.0005181299340555893,0.000862466732045991,0.0003443367979904017
China,Export,21,Miscellaneous edible preparations,0.00012701772150764496,0.00041463028729173595,0.000287612565784091
China,Export,78,Lead and articles thereof,7.32735982255968e-07,0.00026511267102740353,0.00026437993504514756
China,Export,96,Miscellaneous manufactured articles,0.00032220220270937945,0.0005501391489443224,0.00022793694623494297
China,Export,70,Glass and glassware,0.0011998419539842088,0.0014075340963023099,0.0002076921423181011
China,Export,75,Nickel and articles thereof,0.0004915554461269746,0.0006991666599328251,0.00020761121380585043
China,Export,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0.0005867723786253249,0.0007765496831988741,0.00018977730457354913
China,Export,35,Albuminoidal substances; modified starches; glues; enzymes,6.127464292201888e-05,0.00024038708272940994,0.00017911243980739107
China,Export,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",3.121354772352895e-05,0.0001892976151264552,0.00015808406740292624
China,Export,83,Metal; miscellaneous products of base metal,0.00024355692039485985,0.00039864345002552104,0.00015508652963066119
China,Export,62,Apparel and clothing accessories; not knitted or crocheted,0.0019996374890390266,0.002146542278602311,0.00014690478956328433
China,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",0.0005717020824782311,0.0007126680116913096,0.0001409659292130785
China,Export,92,Musical instruments; parts and accessories of such articles,0.0002264190215810105,0.0003666057428983346,0.00014018672131732408
China,Export,31,Fertilizers,0.00012208354906111338,0.00024396190358607676,0.00012187835452496338
China,Export,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",3.7573314327173855e-05,0.00012387429021795527,8.630097589078142e-05
China,Export,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1.1827360121082718e-05,9.243684233093911e-05,8.06094822098564e-05
China,Export,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.000100245821103105,0.0001585043221931999,5.82585010900949e-05
China,Export,99,Commodities not specified according to kind,3.5751454844904e-05,9.274663430217735e-05,5.699517945727335e-05
China,Export,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",9.081709625087626e-06,4.867053398141864e-05,3.9588824356331015e-05
